2023-05-13 15:46:24 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 181ms
2023-05-13 17:09:57 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 60ms
2023-05-13 17:09:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 11ms
2023-05-13 17:09:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 21ms
2023-05-13 17:09:58 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 49ms
2023-05-13 17:10:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 243ms
2023-05-13 17:10:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 8ms
2023-05-13 17:10:01 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 32ms
2023-05-13 17:15:44 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 8ms
2023-05-13 17:15:44 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 10ms
2023-05-13 17:15:44 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 11ms
2023-05-13 17:16:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 73ms
2023-05-13 17:16:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:17:01 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 11ms
2023-05-13 17:17:08 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 7ms
2023-05-13 17:17:08 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 11ms
2023-05-13 17:17:08 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 12ms
2023-05-13 17:17:08 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 29ms
2023-05-13 17:18:09 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 13ms
2023-05-13 17:18:26 INFO  [c.e.s.controller.BookController] API: /api/books/secure/return, Response state: OK, Request time: 251ms
2023-05-13 17:18:26 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 13ms
2023-05-13 17:22:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/renew/loan, Response state: OK, Request time: 3ms
2023-05-13 17:22:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 12ms
2023-05-13 17:26:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 8ms
2023-05-13 17:26:00 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 7ms
2023-05-13 17:26:00 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 4ms
2023-05-13 17:26:19 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure, Response state: OK, Request time: 47ms
2023-05-13 17:26:43 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 90ms
2023-05-13 17:26:43 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 17ms
2023-05-13 17:28:14 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 9ms
2023-05-13 17:28:14 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 10ms
2023-05-13 17:28:14 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 10ms
2023-05-13 17:28:14 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:28:39 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 7ms
2023-05-13 17:28:39 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 7ms
2023-05-13 17:28:39 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 7ms
2023-05-13 17:28:39 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:28:49 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 17:28:49 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 17:28:49 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:28:49 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:29:06 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 17:29:06 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:29:06 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 4ms
2023-05-13 17:29:06 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 17:32:46 INFO  [c.e.s.controller.BookController] API: /api/message/secure/add/message, Response state: OK, Request time: 22ms
2023-05-13 17:34:14 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 11ms
2023-05-13 17:34:18 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:34:18 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 17:34:18 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 17:34:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/checkout, Response state: OK, Request time: 82ms
2023-05-13 17:34:21 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:34:55 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure, Response state: OK, Request time: 22ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 17:34:58 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 5ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 7ms
2023-05-13 17:35:11 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
2023-05-13 17:35:17 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans, Response state: OK, Request time: 32ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 10ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 10ms
2023-05-13 18:56:37 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 11ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 5ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 5ms
2023-05-13 18:56:41 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 2ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 4ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/reviews/secure/user/book, Response state: OK, Request time: 3ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/ischeckedout/byuser, Response state: OK, Request time: 3ms
2023-05-13 18:56:45 INFO  [c.e.s.controller.BookController] API: /api/books/secure/currentloans/count, Response state: OK, Request time: 3ms
